채널,유형,국가,브랜드,본사 거래처 리스트,법인 거래처 리스트
Apohem,벤더,스웨덴,"Centellian 24, K-Secret, Ongredients, PURITO SEOUL",BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21)
Apotea,벤더,스웨덴,"Centellian 24, Dr.Althea, K-Secret, PURITO SEOUL",BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),
Bangerhead,벤더,스웨덴,PURITO SEOUL,BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),
COCO PANDA,벤더,스웨덴,PURITO SEOUL,BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),
blivakker,벤더,스웨덴,"Centellian 24, K-Secret, Ongredients, PURITO SEOUL",BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),
COCOPANDA,벤더,스웨덴,"K-Secret, PURITO SEOUL",BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),
Beauty Bay,벤더,영국,"BIODANCE, Beauty of Joseon, MIXSOON, Round Lab, VT Cosmetics",Luneia (https://app.notion.com/p/Luneia-3bc3226ccd5b80d28d6be0ef0bb5f7b2?pvs=21),
Boozt,벤더,스웨덴,"Anua, Aromatica, Beauty of Joseon, Centellian24, Elroel, Heveblue, Nature Republic, PURITO SEOUL, Pyunkang Yul, Round Lab, Seapuri, Skinfood, TOCOBO, Treecell, VT Cosmetics, iUnik",HPB (https://app.notion.com/p/HPB-3b63226ccd5b819c8823d658755f8435?pvs=21),
KICKS,벤더,스웨덴,"Anua, BIODANCE, Beauty of Joseon, Centellian24, Skinfood",HPB (https://app.notion.com/p/HPB-3b63226ccd5b819c8823d658755f8435?pvs=21),
MATAS,벤더,덴마크,"Anua, BIODANCE, Beauty of Joseon, Centellian24, D'alba, PURITO SEOUL, Pyunkang Yul, Round Lab, Skinfood, iUnik",HPB (https://app.notion.com/p/HPB-3b63226ccd5b819c8823d658755f8435?pvs=21),
DM,벤더,불가리아,"Anua, BIODANCE, Beauty of Joseon, Tirtir",BareCare International Ltd. (https://app.notion.com/p/BareCare-International-Ltd-3b63226ccd5b81c8add6ffbffa7f7027?pvs=21),
DM,벤더,북마케도니아,"COSRX, MARY&MAY, PURITO SEOUL, SKIN1004",Bebe Houm Vib (https://app.notion.com/p/Bebe-Houm-Vib-3b63226ccd5b81a48475fa3c94d19f0c?pvs=21),
DM,벤더,체코,"Anua, BIODANCE, BOJ, COSRX, Dr.Rejuall, PURITO SEOUL, SOME BY MI, VT Cosmetics",dalora s.r.o. (https://app.notion.com/p/dalora-s-r-o-3b63226ccd5b8113ba28d5684402e914?pvs=21),
DM,벤더,헝가리,"Abib, Anua, BIODANCE, Beauty of Joseon, COSRX, Purito, Pyunkang Yul, Tirtir, medicube",Natur-all Ltd. (https://app.notion.com/p/Natur-all-Ltd-3b63226ccd5b811e9863d0b8161ebc39?pvs=21),
ROSSMANN,벤더,헝가리,"AXIS-Y, COSRX, Dr. Althea, HEIMISH, Haruharu Wonder, Isntree, Nature Republic, Round Lab, SKIN1004, TOCOBO","Natur-all Ltd. (https://app.notion.com/p/Natur-all-Ltd-3b63226ccd5b811e9863d0b8161ebc39?pvs=21), SigmaConto Ltd (https://app.notion.com/p/SigmaConto-Ltd-3b63226ccd5b817c937cc77d51658b1a?pvs=21)",
dm Drogerie,벤더,세르비아,"ARENCIA, AXIS-Y, BIODANCE, BOJ, COSRX, Haruharu Wonder, Medicude, PURITO SEOUL, SKIN1004, celimax, medicube","TRIBECA DOO (https://app.notion.com/p/TRIBECA-DOO-3b63226ccd5b81d58572f744b8499086?pvs=21), Muzej Teatar (https://app.notion.com/p/Muzej-Teatar-3b63226ccd5b81088686f5483f2d3e6a?pvs=21)",
Serbia,벤더,세르비아,PURITO SEOUL,TRIBECA DOO (https://app.notion.com/p/TRIBECA-DOO-3b63226ccd5b81d58572f744b8499086?pvs=21),
DM drugstore,벤더,독일,COSRX,KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),
Douglas,벤더,독일,"Beauty of Joseon, COSRX, Dr. Althea, HEIMISH, HaruHaru, Isntree, PURITO SEOUL, Pyunkang Yul, Round Lab, TOCOBO, VT Cosmetics, iUnik",KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),
Douglas,벤더,크로아티아,PURITO SEOUL,Heson d.o.o. (Zito Group) (https://app.notion.com/p/Heson-d-o-o-Zito-Group-3b63226ccd5b815b8178c5f35f05c1d7?pvs=21),
Dr.Max,벤더,슬로바키아,Isntree,Beautex (https://app.notion.com/p/Beautex-3bc3226ccd5b8046ae07f74523e6d2b3?pvs=21),
Etos,벤더,네덜란드,Beauty of Joseon,Trind Cosmetics (https://app.notion.com/p/Trind-Cosmetics-3b63226ccd5b8137baa3f600e89794cf?pvs=21),
FARMASIET,벤더,노르웨이,Beauty of Joseon,K-Beauty Norge AS (https://app.notion.com/p/K-Beauty-Norge-AS-3b63226ccd5b8136a5b4f515c26b0325?pvs=21),
Flaconi,벤더,독일,"Beauty of Joseon, COSRX, Isntree, PURITO SEOUL, Pyunkang Yul, Round Lab, iUnik",KENCANA (https://app.notion.com/p/KENCANA-3b63226ccd5b81f38867f2e8215d96e4?pvs=21),
Gekås Ullared,벤더,스웨덴,COSRX,Retailbros AB (https://app.notion.com/p/Retailbros-AB-3b63226ccd5b81969db9d1dbcbb83779?pvs=21),
K-Citymarket (Kesko),벤더,핀란드,"Dr. Althea, NUMBUZIN, PURITO SEOUL, Round Lab, TOCOBO, VT Cosmetics",COSNF Oy (https://app.notion.com/p/COSNF-Oy-3b63226ccd5b8148a286ff0451d6c4f3?pvs=21),
