채널,국가,법인 거래처 리스트,본사 거래처 리스트,브랜드,유형
Apohem,스웨덴,BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),"Centellian 24, K-Secret, Ongredients, PURITO SEOUL",벤더
Apotea,스웨덴,,BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),"Centellian 24, Dr.Althea, K-Secret, PURITO SEOUL",벤더
Bangerhead,스웨덴,,BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),PURITO SEOUL,벤더
COCO PANDA,스웨덴,,BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),PURITO SEOUL,벤더
blivakker,스웨덴,,BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),"Centellian 24, K-Secret, Ongredients, PURITO SEOUL",벤더
COCOPANDA,스웨덴,,BALMID AB (https://app.notion.com/p/BALMID-AB-3b63226ccd5b81c08b11dd53f6437f05?pvs=21),"K-Secret, PURITO SEOUL",벤더
Beauty Bay,영국,,Luneia (https://app.notion.com/p/Luneia-3bc3226ccd5b80d28d6be0ef0bb5f7b2?pvs=21),"BIODANCE, Beauty of Joseon, MIXSOON, Round Lab, VT Cosmetics",벤더
Boozt,스웨덴,,HPB (https://app.notion.com/p/HPB-3b63226ccd5b819c8823d658755f8435?pvs=21),"Anua, Aromatica, Beauty of Joseon, Centellian24, Elroel, Heveblue, Nature Republic, PURITO SEOUL, Pyunkang Yul, Round Lab, Seapuri, Skinfood, TOCOBO, Treecell, VT Cosmetics, iUnik",벤더
KICKS,스웨덴,,HPB (https://app.notion.com/p/HPB-3b63226ccd5b819c8823d658755f8435?pvs=21),"Anua, BIODANCE, Beauty of Joseon, Centellian24, Skinfood",벤더
MATAS,덴마크,,HPB (https://app.notion.com/p/HPB-3b63226ccd5b819c8823d658755f8435?pvs=21),"Anua, BIODANCE, Beauty of Joseon, Centellian24, D'alba, PURITO SEOUL, Pyunkang Yul, Round Lab, Skinfood, iUnik",벤더
